date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-05-28 11:50:06,RS1140280,114,Senate,280,2015-10-20,,On Cloture on the Motion to Proceed,"A bill to hold sanctuary jurisdictions accountable for defying Federal law, to increase penalties for individuals who illegally reenter the United States after being removed, and to provide liability protection for State and local law enforcement who cooerate with Federal law enforcement and for other purposes.",,,,,,,,0.019,-0.083,-0.333,-0.555,0.956,0.98,-5.345,0.947
2017-05-28 11:50:06,RS1140281,114,Senate,281,2015-10-22,,On the Cloture Motion,In the nature of a substitute.,,,,,,,,-0.432,-0.28,-0.246,-0.319,0.286,0.897,-20.769,0.807
2017-05-28 11:50:06,RS1140282,114,Senate,282,2015-10-22,,On the Amendment,To prohibit liability immunity to applying to private entities that break user or privacy agreements with customers.,,,,,,,,-0.124,-0.48,0.051,0.244,0.344,0.784,-50.544,0.594
2017-05-28 11:50:06,RS1140283,114,Senate,283,2015-10-22,,On the Nomination,"Julie Furuta-Toy, of Wyoming, to be Ambassador to the Republic of Equatorial Guinea",,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140284,114,Senate,284,2015-10-26,,On the Nomination,"Lawrence Joseph Vilardo, of New York, to be United States District Judge for the Western District of New York",,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140285,114,Senate,285,2015-10-27,,On the Amendment,To improve the requirements relating to removal of personal information from cyber threat indicators before sharing.,,,,,,,,-0.083,-0.114,0.098,0.225,0.634,0.844,-40.631,0.655
2017-05-28 11:50:06,RS1140286,114,Senate,286,2015-10-27,,On the Amendment,To protect information that is reasonably believed to be personal information or information that identifies a specific person.,,,,,,,,0.036,-0.088,0.039,0.02,0.298,0.656,-61.814,0.525
2017-05-28 11:50:06,RS1140287,114,Senate,287,2015-10-27,,On the Amendment,To strike the FOIA exemption.,,,,,,,,-0.165,-0.112,0.124,0.256,0.622,0.854,-34.196,0.7
2017-05-28 11:50:06,RS1140288,114,Senate,288,2015-10-27,,On the Amendment,To improve the definitions of cybersecurity threat and cyber threat indicator.,,,,,,,,-0.198,-0.152,0.117,0.254,0.6,0.853,-35.722,0.687
2017-05-28 11:50:06,RS1140289,114,Senate,289,2015-10-27,,On the Amendment,To modify section105 to require DHS to review all cyber threat indicators and countermeasures in order to remove certain personal information.,,,,,,,,-0.083,-0.102,0.088,0.349,0.512,0.789,-42.397,0.64
2017-05-28 11:50:06,RS1140290,114,Senate,290,2015-10-27,,On the Amendment,To exempt from the capability and process within the Department of Homeland Security communication between a private entity and the Federal Bureau of Investigation or the United States Secret Service regarding cybersecurity threats.,,,,,,,,0.57,-0.361,-0.133,-0.017,0.091,0.789,-42.314,0.641
2017-05-28 11:50:06,RS1140291,114,Senate,291,2015-10-27,,On Passage of the Bill,"An original bill to improve cybersecurity in the United States through enhanced sharing of information about cybersecurity threats, and for other purposes.",,,,,,,,-0.456,-0.601,-0.097,-0.154,0.143,0.811,-40.887,0.65
2017-05-28 11:50:06,RS1140292,114,Senate,292,2015-10-30,,On the Cloture Motion,A bill to amend the Internal Revenue Code of 1986 to provide for a right to an administrative appeal relating to adverse determinations of tax-exempt status of certain organizations.,,,,,,,,0.4,-0.058,0.311,0.167,0.657,0.878,-21.98,0.799
2017-05-28 11:50:06,RS1140293,114,Senate,293,2015-10-30,,On the Motion,A bill to amend the Internal Revenue Code of 1986 to provide for a right to an administrative appeal relating to adverse determinations of tax-exempt status of certain organizations.,,,,,,,,0.4,-0.058,0.311,0.167,0.657,0.879,-21.98,0.801
2017-05-28 11:50:06,RS1140294,114,Senate,294,2015-10-30,,On the Motion,A bill to amend the Internal Revenue Code of 1986 to provide for a right to an administrative appeal relating to adverse determinations of tax-exempt status of certain organizations.,,,,,,,,0.4,-0.058,0.311,0.167,0.657,0.879,-21.98,0.801
